name,type,arab,cop,dem,gr,hebr,ostr,syr usw.,to delete,tf_arab,,tf_cop,,tf_dem,,tf_gr,,tf_hebr,,tf_ostr,,"tf_syr,pah,lat,hier,aram",,label,type,length,length,original length,
Ort,string,Ort,Ort,Ort,Ort,Ort,Ort,Ort,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Ort,string,128,128,ort,33
P_Heid_Inv_Erg,string,P_Heid_Inv_Erg,P_Heid_Inv_Erg,P_Heid_Inv_Erg,P_Heid_Inv_Erg,P.Heid.Inv.Erg.,,,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,INSERT,string,INSERT,string,P_Heid_Inv_Erg,string,,1024,p_heid_inv_erg,184
P_Heid_Inv_L,,P_Heid_Inv_L,P_Heid_Inv_L,P_Heid_Inv_L,P_Heid_Inv_L,P.Heid.Inv.L,,,x,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,IGNORE,DELETE,IGNORE,DELETE,DELETE,DELETE,,,,
P_Heid_Inv_Nr,integer,P_Heid_Inv_Nr,P_Heid_Inv_Nr,P_Heid_Inv_Nr,P_Heid_Inv_Nr,P.Heid. Inv. Nr.,P.Heid. Inv. Nr.,P.Heid. Inv. Nr.,,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,P_Heid_Inv_Nr,integer,16,16,p_heid_inv_nr,4
P.Heid. Inv.,string,P.Heid. Inv.,P.Heid. Inv.,P.Heid. Inv.,P.Heid. Inv.,P.Heid. Inv.,,P.Heid. Inv.,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,INSERT,string,KEEP,string,P.Heid. Inv.,string,64,64,p_heid_inv,12
P.Heid. Inv. Buchstabe,string,P.Heid. Inv. Buchstabe,P.Heid. Inv. Buchstabe,P.Heid. Inv. Buchstabe,P.Heid. Inv. Buchstabe,P.Heid. Inv. Buchstabe,P.Heid. Inv. Buchstabe,P.Heid. Inv. Buchstabe,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,P.Heid. Inv. Buchstabe,string,128,128,p_heid_inv_buchstabe,45
Pack2,integer,Pack2,Pack2,Pack2,Pack2,Pack2,Pack2,Pack2,,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,Pack2,integer,16,16,pack2,4
Paläographisches,string,Paläographisches,,,,,,,,KEEP,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,Paläographisches,text,,4096,palaeographisches,1198
Photo an,string,Photo an,Photo an,Photo an,Photo an,Photo an,Photo an,Photo an,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Photo an,text,,2048,photo_an,476
Pub sonst,string,Pub sonst,Pub sonst,Pub sonst,Pub sonst,Pub sonst,Pub sonst,Pub sonst,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Pub sonst,string,,1024,pub_sonst,311
Publ_Erg,string,Publ_Erg,Publ_Erg,Publ_Erg,Publ_Erg,,,,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,INSERT,string,INSERT,string,INSERT,string,Publ_Erg,string,64,64,publ_erg,15
Publikation,string,Publikation,Publikation,Publikation,Publikation,Publikation,Publikation,Publikation,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Publikation,string,,1024,publikation,216
PublikationL,,PublikationL,PublikationL,PublikationL,PublikationL,PublikationL,PublikationL,PublikationL,x,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,
Rückseite,string,,,,,,,Rückseite,,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,KEEP,string,Rückseite,string,64,64,rueckseite,20
RV,string,RV,RV,RV,RV,RV,RV,RV,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,RV,string,128,128,rv,25
Schrift,string,Schrift,Schrift,Schrift,Schrift,Schrift,Schrift,Schrift,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Schrift,string,64,64,schrift,18
Seite,string,Seite,Seite,Seite,Seite,Seite,Seite,Seite,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,Seite,string,32,32,seite,9
Sortierhilfe,,Sortierhilfe,Sortierhilfe,Sortierhilfe,Sortierhilfe,Sortierhilfe,Sortierhilfe,Sortierhilfe,x,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,
Sprache,string,Sprache,Sprache,Sprache,Sprache,,,,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,INSERT,string,INSERT,string,INSERT,string,Sprache,string,128,128,sprache,40
Status,string,Status,Status,Status,Status,,,,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,INSERT,string,INSERT,string,INSERT,string,Status,string,128,128,status,37
T,integer,T,T,T,T,T,T,T,,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,T,integer,8,8,t1,2
T2,integer,T2,T2,T2,T2,T2,T2,T2,,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,KEEP,integer,T2,integer,8,8,t2,2
T2Hig,string,T2Hig,,,,,,,,KEEP,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,T2Hig,string,,,t2hig,0
THig,string,THig,,,,,,,,KEEP,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,INSERT,string,THig,string,64,64,t1hig,13
TIFF (600 dpi),string,TIFF (600 dpi),TIFF (600 dpi),TIFF (600 dpi),TIFF (600 dpi),TIFF (600) dpi,,,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,KEEP,string,INSERT,string,INSERT,string,TIFF (600 dpi),string,,,,
Titel,string,Titel,Titel,Titel,Titel,,,,,KEEP,string,KEEP,string,KEEP,string,KEEP,string,INSERT,string,INSERT,string,INSERT,string,Titel,string,,,titel,0
TM,integer,TM,TM,TM,TM,TM,TM,TM,x,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,DELETE,,,,
